idade,sexo,cor_raca,anos_estudo,setor,regiao,rendimento_hora
30,M,Parda,12,Agricultura,Norte,31.25
50,F,Parda,16,Servicos,Norte,21.875
54,F,Branca,16,Servicos,Norte,21.875
36,M,Parda,9,Servicos,Norte,18.75
32,M,Branca,12,Industria,Norte,25.0
32,M,Parda,12,Servicos,Norte,15.625
62,F,Parda,9,Servicos,Norte,5.0
68,M,Branca,7,Comercio,Norte,2.1875
47,F,Parda,7,Comercio,Norte,2.1875
33,F,Branca,16,Comercio,Norte,25.0
30,F,Branca,16,Servicos,Norte,18.75
43,M,Branca,16,Servicos,Norte,12.5
33,F,Parda,16,Servicos,Norte,25.0
37,M,Parda,8,Comercio,Norte,8.125
60,F,Parda,7,Servicos,Norte,20.0
38,F,Parda,16,Servicos,Norte,28.125
45,M,Preta,16,Servicos,Norte,28.125
35,F,Parda,16,Industria,Norte,12.5
40,M,Parda,9,Industria,Norte,15.0
42,M,Parda,5,Construcao,Norte,12.5
52,M,Branca,16,Comercio,Norte,31.25
34,F,Preta,16,Comercio,Norte,12.5
46,F,Parda,8,Comercio,Norte,12.5
42,M,Parda,16,Comercio,Norte,12.5
56,F,Parda,5,Industria,Norte,8.1375
32,M,Parda,12,Industria,Norte,8.75
26,F,Parda,12,Comercio,Norte,10.0
31,F,Parda,16,Servicos,Norte,13.75
27,M,Parda,9,Servicos,Norte,22.5
37,M,Parda,11,Industria,Norte,18.75
31,F,Parda,16,Servicos,Norte,9.375
22,M,Parda,12,Servicos,Norte,12.5
20,F,Branca,16,Servicos,Norte,11.25
37,M,Parda,12,Agricultura,Norte,7.575
32,F,Branca,12,Servicos,Norte,28.75
37,M,Parda,12,Servicos,Norte,14.375
29,F,Branca,14,Servicos,Norte,18.75
26,M,Parda,12,Construcao,Norte,9.375
33,F,Parda,12,Servicos,Norte,12.5
39,M,Parda,9,Agricultura,Norte,25.0
48,M,Parda,3,Servicos,Norte,9.375
47,F,Parda,12,Servicos,Norte,12.5
26,M,Parda,12,Comercio,Norte,8.1375
46,M,Branca,10,Construcao,Norte,9.375
60,M,Parda,12,Industria,Norte,12.5
38,F,Parda,9,Comercio,Norte,8.75
20,F,Parda,11,Industria,Norte,8.75
38,M,Parda,16,Servicos,Norte,31.25
43,F,Parda,16,Servicos,Norte,12.5
59,F,Parda,4,Servicos,Norte,6.25
30,F,Parda,12,Industria,Norte,8.1375
62,M,Parda,5,Servicos,Norte,12.5
59,F,Branca,5,Industria,Norte,7.5
45,F,Parda,12,Industria,Norte,8.75
45,M,Parda,9,Industria,Norte,12.5
51,F,Branca,4,Servicos,Norte,6.25
43,F,Parda,12,Servicos,Norte,16.98125
24,M,Parda,12,Industria,Norte,12.5
49,M,Branca,12,Industria,Norte,10.625
35,F,Parda,12,Industria,Norte,11.25
44,F,Parda,16,Servicos,Norte,31.25
64,F,Branca,12,Servicos,Norte,31.25
35,M,Branca,6,Industria,Norte,18.75
52,F,Parda,16,Agricultura,Norte,10.625
22,F,Branca,16,Servicos,Norte,11.875
54,F,Branca,16,Servicos,Norte,31.25
23,M,Parda,16,Construcao,Norte,8.125
54,M,Branca,6,Agricultura,Norte,18.75
39,M,Parda,12,Industria,Norte,18.75
18,M,Parda,10,Comercio,Norte,8.1375
33,M,Parda,6,Industria,Norte,9.375
23,M,Preta,11,Industria,Norte,9.375
42,F,Parda,5,Servicos,Norte,9.375
37,M,Preta,9,Construcao,Norte,15.625
22,M,Parda,12,Construcao,Norte,10.0
49,M,Parda,2,Industria,Norte,9.375
45,M,Parda,12,Construcao,Norte,9.375
61,M,Parda,5,Agricultura,Norte,15.0
47,M,Branca,4,Agricultura,Norte,12.5
33,M,Parda,9,Agricultura,Norte,8.125
30,F,Parda,14,Servicos,Norte,8.125
34,M,Parda,12,Agricultura,Norte,8.75
33,M,Preta,16,Servicos,Norte,21.25
31,F,Parda,16,Servicos,Norte,12.5
45,M,Parda,4,Agricultura,Norte,7.25
42,F,Parda,4,Agricultura,Norte,8.125
41,M,Branca,4,Agricultura,Norte,15.625
18,M,Parda,12,Agricultura,Norte,1.875
51,M,Branca,3,Agricultura,Norte,7.5
21,M,Branca,12,Agricultura,Norte,8.125
45,M,Parda,12,Agricultura,Norte,18.75
43,F,Branca,13,Servicos,Norte,15.275
20,M,Branca,12,Agricultura,Norte,10.0
26,M,Parda,16,Servicos,Norte,20.625
33,M,Branca,0,Agricultura,Norte,25.0
61,M,Parda,9,Agricultura,Norte,11.25
21,M,Parda,12,Agricultura,Norte,8.75
44,M,Branca,16,Servicos,Norte,18.75
21,M,Branca,12,Agricultura,Norte,8.75
42,M,Parda,5,Agricultura,Norte,15.625
32,M,Parda,10,Industria,Norte,8.75
54,M,Branca,8,Agricultura,Norte,8.125
45,F,Branca,8,Agricultura,Norte,8.125
26,M,Branca,12,Agricultura,Norte,8.75
64,M,Parda,16,Industria,Norte,3.125
62,F,Parda,16,Servicos,Norte,21.875
64,M,Branca,5,Construcao,Norte,18.75
32,M,Parda,6,Industria,Norte,5.0
42,M,Parda,5,Comercio,Norte,1.875
27,M,Parda,6,Industria,Norte,9.0625
46,F,Parda,16,Industria,Norte,31.25
43,M,Parda,16,Industria,Norte,31.25
31,M,Preta,12,Industria,Norte,15.625
33,F,Preta,16,Industria,Norte,9.375
36,M,Parda,12,Industria,Norte,12.5
36,F,Parda,12,Industria,Norte,8.4375
41,M,Parda,12,Industria,Norte,8.1375
62,F,Parda,12,Comercio,Norte,2.5
34,M,Parda,12,Comercio,Norte,2.5
37,M,Parda,12,Comercio,Norte,2.5
32,M,Parda,12,Agricultura,Norte,28.125
57,F,Parda,5,Comercio,Norte,9.375
41,M,Parda,12,Industria,Norte,6.25
37,F,Parda,12,Industria,Norte,6.25
32,M,Parda,6,Agricultura,Norte,14.375
62,F,Parda,16,Servicos,Norte,12.5
39,M,Parda,9,Agricultura,Norte,22.5
32,F,Parda,13,Servicos,Norte,14.375
49,M,Parda,13,Servicos,Norte,14.375
53,F,Parda,12,Agricultura,Norte,18.75
60,M,Parda,9,Agricultura,Norte,17.5
43,F,Branca,12,Comercio,Norte,8.1375
46,M,Parda,12,Industria,Norte,16.25
22,M,Parda,11,Industria,Norte,12.5
37,F,Parda,14,Servicos,Norte,6.25
38,F,Preta,12,Comercio,Norte,8.1375
26,M,Preta,11,Industria,Norte,8.1375
20,M,Parda,12,Industria,Norte,8.1375
32,M,Preta,12,Industria,Norte,11.25
32,M,Branca,11,Comercio,Norte,12.5
53,F,Parda,5,Servicos,Norte,7.5
62,M,Parda,16,Servicos,Norte,22.5
21,M,Parda,13,Agricultura,Norte,5.0
33,M,Parda,16,Industria,Norte,10.625
22,M,Branca,13,Industria,Norte,17.1875
26,M,Parda,11,Industria,Norte,11.25
68,M,Branca,5,Servicos,Norte,28.125
60,F,Branca,12,Servicos,Norte,22.5
61,M,Branca,1,Agricultura,Norte,9.375
40,M,Preta,2,Agricultura,Norte,12.5
57,F,Branca,2,Agricultura,Norte,12.5
63,M,Branca,7,Agricultura,Norte,12.5
25,F,Parda,9,Agricultura,Norte,6.25
43,M,Branca,16,Agricultura,Norte,6.25
38,F,Branca,4,Agricultura,Norte,6.25
45,M,Preta,4,Agricultura,Norte,6.25
52,M,Parda,3,Agricultura,Norte,7.5
48,F,Preta,3,Agricultura,Norte,7.5
54,M,Branca,5,Agricultura,Norte,5.0
50,F,Parda,3,Agricultura,Norte,3.75
50,M,Parda,5,Agricultura,Norte,5.0
40,M,Parda,12,Construcao,Norte,15.625
28,F,Branca,12,Agricultura,Norte,7.5
29,M,Branca,1,Agricultura,Norte,7.5
42,M,Parda,0,Industria,Norte,12.5
69,M,Branca,3,Agricultura,Norte,12.5
63,M,Branca,2,Agricultura,Norte,12.5
60,M,Branca,12,Comercio,Norte,18.75
55,M,Parda,9,Agricultura,Norte,18.75
53,F,Parda,12,Comercio,Norte,7.8125
45,M,Parda,5,Industria,Norte,8.14375
37,F,Parda,12,Agricultura,Norte,17.5
45,M,Preta,5,Agricultura,Norte,17.5
70,M,Parda,9,Comercio,Norte,3.75
56,F,Branca,16,Servicos,Norte,12.5
54,M,Branca,16,Industria,Norte,15.625
44,F,Parda,12,Industria,Norte,8.175
39,M,Parda,8,Agricultura,Norte,8.175
51,M,Branca,0,Agricultura,Norte,18.75
38,F,Branca,12,Agricultura,Norte,18.75
29,M,Parda,8,Agricultura,Norte,8.75
60,M,Branca,12,Agricultura,Norte,6.25
34,M,Parda,9,Agricultura,Norte,8.125
55,M,Branca,5,Agricultura,Norte,18.75
46,F,Branca,4,Servicos,Norte,17.5
39,M,Branca,8,Agricultura,Norte,12.5
32,M,Branca,13,Agricultura,Norte,25.0
24,M,Branca,13,Agricultura,Norte,21.875
23,M,Parda,9,Agricultura,Norte,18.75
44,M,Branca,5,Agricultura,Norte,7.575
36,F,Branca,5,Agricultura,Norte,7.575
35,M,Branca,9,Agricultura,Norte,7.5
35,M,Parda,6,Agricultura,Norte,9.375
47,M,Branca,5,Agricultura,Norte,7.575
43,M,Parda,5,Agricultura,Norte,9.375
20,M,Parda,12,Agricultura,Norte,9.375
42,M,Branca,5,Agricultura,Norte,7.575
33,M,Preta,16,Servicos,Norte,31.25
22,M,Parda,12,Agricultura,Norte,13.75
