idade,sexo,cor_raca,anos_estudo,setor,regiao,rendimento_hora
56,M,Indigena,0,Servicos,Sudeste,16.990154295218773
46,F,Branca,19,Comercio,Norte,68.47629289285112
32,F,Branca,16,Industria,Sudeste,62.513127186609445
60,M,Amarela,11,Agricultura,Sul,48.315264609950106
25,M,Amarela,14,Industria,Sul,57.045896197672356
38,M,Parda,0,Servicos,Sudeste,32.091761568261575
56,M,Amarela,13,Industria,Sul,61.29241484730179
36,F,Parda,5,Servicos,Nordeste,22.47394894148357
40,F,Branca,4,Industria,Sudeste,28.330947037142337
28,M,Preta,10,Comercio,Nordeste,36.53020111488463
28,F,Indigena,3,Construcao,Nordeste,17.43380050154863
41,M,Branca,12,Comercio,Centro-Oeste,46.03830600622214
53,M,Amarela,10,Comercio,Sudeste,46.49412650437597
57,F,Indigena,2,Construcao,Sul,16.90918776815963
41,F,Preta,0,Construcao,Nordeste,12.15407191089086
20,F,Preta,5,Agricultura,Centro-Oeste,21.036354178916138
39,F,Parda,17,Agricultura,Sudeste,47.703307859986396
19,F,Indigena,9,Comercio,Sudeste,52.79783214700997
41,F,Parda,4,Comercio,Norte,30.652617925300028
61,F,Branca,9,Servicos,Norte,41.26219565045002
47,M,Indigena,11,Servicos,Nordeste,49.55291429844359
55,M,Branca,1,Agricultura,Norte,12.370073916094627
19,M,Parda,12,Agricultura,Nordeste,56.05433726686519
38,M,Indigena,7,Servicos,Sul,52.54373216863867
50,M,Parda,1,Servicos,Nordeste,22.740162369479147
29,F,Indigena,19,Industria,Norte,70.82118386511206
39,M,Parda,0,Industria,Sul,19.731720673603544
61,M,Preta,4,Servicos,Norte,23.499647366744416
42,M,Parda,8,Industria,Nordeste,34.969059786218054
44,M,Preta,16,Construcao,Centro-Oeste,60.87156780063174
59,M,Parda,8,Agricultura,Sudeste,41.752713687539334
45,M,Indigena,10,Agricultura,Norte,42.08808033538978
33,M,Indigena,14,Servicos,Nordeste,55.61160265494531
32,F,Indigena,5,Comercio,Sul,29.354729012807233
64,F,Amarela,2,Servicos,Norte,24.5935509429849
61,M,Branca,16,Industria,Norte,55.75636960162039
20,F,Indigena,4,Comercio,Sudeste,22.297903105232386
54,F,Preta,11,Industria,Nordeste,37.572494405800185
24,F,Indigena,17,Construcao,Centro-Oeste,64.3468932981172
38,F,Amarela,13,Industria,Sul,40.32611834895805
26,M,Preta,20,Construcao,Nordeste,76.04154205990156
56,F,Amarela,10,Construcao,Sul,55.038096383577056
35,F,Preta,8,Industria,Norte,32.78691647810427
21,F,Parda,1,Industria,Sudeste,5.0
42,M,Branca,11,Construcao,Sudeste,48.672136628196256
31,M,Branca,2,Comercio,Centro-Oeste,18.934895032267086
26,M,Amarela,2,Construcao,Sudeste,17.656410680426518
43,M,Branca,0,Agricultura,Norte,12.068689637150545
19,M,Amarela,7,Construcao,Centro-Oeste,41.0611711931801
37,M,Amarela,7,Comercio,Nordeste,38.02956297381044
45,M,Amarela,10,Agricultura,Sudeste,42.8526153137314
64,F,Branca,8,Servicos,Centro-Oeste,31.494404982427405
24,F,Amarela,4,Servicos,Norte,23.117896094341372
61,F,Branca,13,Comercio,Sul,54.43925932389737
25,M,Amarela,2,Construcao,Sul,25.577195124179898
64,M,Indigena,20,Industria,Norte,70.46809972459405
52,M,Amarela,4,Comercio,Norte,30.508997452171165
31,M,Preta,4,Agricultura,Sul,40.53092424036137
34,M,Amarela,18,Agricultura,Centro-Oeste,69.37300613466556
53,F,Parda,13,Servicos,Sul,57.471468956015364
57,F,Amarela,3,Agricultura,Norte,22.14109717368023
21,M,Preta,12,Comercio,Sudeste,48.97996119492076
19,M,Preta,9,Agricultura,Nordeste,44.56384547471286
23,M,Branca,17,Comercio,Sudeste,61.59611932429217
59,M,Indigena,7,Industria,Sudeste,41.9513362539999
21,F,Amarela,7,Servicos,Norte,33.42718741128651
46,M,Branca,6,Agricultura,Sul,33.3092948431308
35,M,Indigena,7,Comercio,Centro-Oeste,25.565206712695392
43,M,Amarela,13,Construcao,Sudeste,58.49784702170601
61,M,Parda,18,Servicos,Sul,74.3539761688677
51,F,Amarela,5,Industria,Centro-Oeste,31.12144281661942
27,M,Preta,0,Comercio,Sudeste,15.038398161365
53,M,Preta,14,Industria,Centro-Oeste,62.88492779287828
31,F,Parda,0,Industria,Sul,10.45935731272893
48,F,Branca,16,Agricultura,Nordeste,68.83224170410735
65,F,Indigena,0,Agricultura,Sul,9.31418094103043
32,M,Amarela,14,Comercio,Norte,55.64862038734134
25,M,Preta,1,Construcao,Centro-Oeste,18.652584095159742
31,F,Branca,13,Comercio,Nordeste,43.3466575923547
40,F,Parda,20,Construcao,Centro-Oeste,71.34636362716607
57,F,Preta,7,Industria,Centro-Oeste,42.11711201856095
38,F,Parda,7,Servicos,Sudeste,26.859086963875612
33,F,Amarela,18,Comercio,Norte,65.37646884494488
62,F,Indigena,6,Comercio,Centro-Oeste,17.28037507801953
35,M,Preta,18,Construcao,Sul,62.80601117886074
64,M,Preta,5,Industria,Sul,45.45499818940567
41,M,Amarela,5,Industria,Sudeste,30.429307799647678
43,F,Branca,2,Construcao,Norte,11.716720213546163
42,F,Indigena,6,Industria,Norte,28.652373626091904
62,F,Preta,18,Agricultura,Sul,82.24743802898132
58,F,Indigena,7,Servicos,Nordeste,26.569906516763844
46,F,Preta,9,Comercio,Sudeste,37.41214053016393
32,F,Indigena,19,Servicos,Sudeste,82.02459009907776
62,M,Parda,14,Comercio,Sul,71.78621406122639
18,M,Preta,14,Agricultura,Sul,54.739412654258295
42,F,Indigena,0,Industria,Nordeste,5.605683784840144
24,M,Branca,19,Construcao,Nordeste,78.65506101085495
26,F,Parda,6,Agricultura,Norte,37.48665435049518
41,M,Parda,3,Servicos,Sudeste,35.3936819265734
18,F,Branca,5,Construcao,Sudeste,24.28558590637548
